impl,n_clients,n_inserts,server,total_time_ms,n_commits,commit_rate_tps,relative_commit_rate
KuaFu,32,1,Primary,61154,228638,3738.7251855970176,1.00000000000000000000
KuaFu,32,1,KuaFu,61182,228638,3737.0141544898825,.99954234905691206230
KuaFu,32,256,Primary,61298,16941,276.37117034813537,1.00000000000000000000
KuaFu,32,256,KuaFu,63106,4937,78.23344848350395,.28307384010045596991
KuaFu,32,32,Primary,62302,84587,1357.693171968797,1.00000000000000000000
KuaFu,32,32,KuaFu,63871,37999,594.9335379123546,.43819439487173585027
FDR+RO,32,8,Primary,61170,164450,2688.4093509890467,1.00000000000000000000
FDR+RO,32,8,FDR+RO,61279,164450,2683.6273437882473,.99822125034677470768
FDR+RO,32,4,Primary,62133,196356,3160.253005649172,1.00000000000000000000
FDR+RO,32,4,FDR+RO,62147,196356,3159.5410880653935,.99977472766183406903
FDR,32,1,Primary,62298,232504,3732.126231981765,1.00000000000000000000
FDR,32,1,FDR,62117,232504,3743.0011108070253,1.00291385611024354927
FDR+RO,32,4,Primary,62285,196145,3149.153086617966,1.00000000000000000000
FDR+RO,32,4,FDR+RO,62399,196145,3143.399733970096,.99817304764499435148
KuaFu+RO,32,16,Primary,61115,126301,2066.612124682975,1.00000000000000000000
KuaFu+RO,32,16,KuaFu+RO,63998,73680,1151.2859776868027,.55708856245262458310
KuaFu,32,64,Primary,62122,52307,842.0044428704807,1.00000000000000000000
KuaFu,32,64,KuaFu,63510,19583,308.3451424972445,.36620370012070701970
FDR,32,256,Primary,62085,16795,270.5162277522751,1.00000000000000000000
FDR,32,256,FDR,62105,16795,270.42911198776267,.99967796473713877840
KuaFu,32,128,Primary,62311,30681,492.3849721557991,1.00000000000000000000
KuaFu,32,128,KuaFu,63416,9677,152.59555948025735,.30991108199779395855
KuaFu+RO,32,64,Primary,61265,48915,798.4167142740554,1.00000000000000000000
KuaFu+RO,32,64,KuaFu+RO,62634,19536,311.9072708113804,.39065724105610178087
KuaFu+RO,32,4,Primary,61083,193187,3162.6966586447948,1.00000000000000000000
KuaFu+RO,32,4,KuaFu+RO,64128,188388,2937.687125748503,.92885516469584292957
FDR+RO,32,2,Primary,62294,218374,3505.5382540854657,1.00000000000000000000
FDR+RO,32,2,FDR+RO,62055,218374,3519.0395616791557,1.00385142212553383121
KuaFu+RO,32,64,Primary,63227,51021,806.9495626868269,1.00000000000000000000
KuaFu+RO,32,64,KuaFu+RO,66749,20368,305.14314821195825,.37814401583656695491
FDR,32,32,Primary,62147,84296,1356.3969298598483,1.00000000000000000000
FDR,32,32,FDR,62226,84296,1354.6748947385338,.99873043422363656352
KuaFu,32,16,Primary,62177,125978,2026.1189829036462,1.00000000000000000000
KuaFu,32,16,KuaFu,64371,74880,1163.25674605024,.57413052040170320902
FDR,32,64,Primary,61100,49640,812.4386252045826,1.00000000000000000000
FDR,32,64,FDR,61231,49640,810.7004621841877,.99786056082703206291
FDR+RO,32,16,Primary,61995,127964,2064.1019437051377,1.00000000000000000000
FDR+RO,32,16,FDR+RO,62157,127964,2058.722267805718,.99739369660697911700
KuaFu+RO,32,1,Primary,61177,230221,3763.1953185020516,1.00000000000000000000
KuaFu+RO,32,1,KuaFu+RO,61484,230221,3744.405048467894,.99500683104547517628
FDR,32,8,Primary,61053,164145,2688.5656724485284,1.00000000000000000000
FDR,32,8,FDR,61192,164145,2682.458491306053,.99772846123676291945
