impl,n_clients,n_inserts,server,total_time_ms,n_commits,commit_rate_tps
kuafu,8,1,primary,66268,315076,4754.572342608801
kuafu,8,1,backup,45244,315076,6963.928918751658
kuafu,1,1,primary,65598,252727,3852.6631909509438
kuafu,1,1,backup,37198,252727,6794.101833431905
kuafu,2,1,primary,66251,454622,6862.115288825829
kuafu,2,1,backup,64384,454622,7061.102137176938
kuafu,4,1,primary,66164,320058,4837.343570521733
kuafu,4,1,backup,40137,320058,7974.138575379326
kuafu,16,1,primary,66311,310801,4687.020253050022
kuafu,16,1,backup,44555,310801,6975.670519582539
