impl,n_clients,server,total_time_ms,n_commits,commit_rate_tps,relative_commit_rate
KuaFu,32,Primary,62141,1814120,29193.608084839318,1.00000000000000000000
KuaFu,32,KuaFu,62130,1814120,29198.776758409786,1.00017704812489937378
KuaFu,32,Primary,62101,1832784,29512.954702822823,1.00000000000000000000
KuaFu,32,KuaFu,62274,1832784,29430.966374409865,.99722195458778933884
FDR+RO,32,Primary,62062,1843932,29711.127582095323,1.00000000000000000000
FDR+RO,32,FDR+RO,62253,1843932,29619.970121921837,.99693187476908753233
FDR,32,Primary,62060,1837970,29616.01675797615,1.00000000000000000000
FDR,32,FDR,62202,1837970,29548.406803639755,.99771711520529895809
KuaFu,32,Primary,62259,1816450,29175.701505003293,1.00000000000000000000
KuaFu,32,KuaFu,62307,1816450,29153.225159291895,.99922962106986378481
FDR,32,Primary,62212,1854808,29814.31235131486,1.00000000000000000000
FDR,32,FDR,62278,1854808,29782.716207970712,.99894023571726769816
FDR,32,Primary,62223,1825065,29331.03514777494,1.00000000000000000000
FDR,32,FDR,62288,1825065,29300.427048548678,.99895646031338297521
FDR,32,Primary,62261,1843998,29617.224265591623,1.00000000000000000000
FDR,32,FDR,62424,1843998,29539.888504421375,.99738882481097007121
FDR+RO,32,Primary,61352,1805121,29422.366019037683,1.00000000000000000000
FDR+RO,32,FDR+RO,61507,1805121,29348.22052774481,.99747996163038358953
FDR,32,Primary,62121,1843553,29676.808164710805,1.00000000000000000000
FDR,32,FDR,62392,1843553,29547.906782920887,.99565649442236187598
KuaFu,32,Primary,61209,1797418,29365.256743289385,1.00000000000000000000
KuaFu,32,KuaFu,61293,1797418,29325.01264418449,.99862953355195535034
FDR+RO,32,Primary,62116,1844546,29695.1832056153,1.00000000000000000000
FDR+RO,32,FDR+RO,62270,1844546,29621.744017986188,.99752689898827683286
KuaFu,32,Primary,62175,1819073,29257.305991154,1.00000000000000000000
KuaFu,32,KuaFu,62174,1819073,29257.77656255026,1.00001608389358891341
FDR+RO,32,Primary,61158,1819211,29746.08391379705,1.00000000000000000000
FDR+RO,32,FDR+RO,61300,1819211,29677.177814029365,.99768352365415991918
FDR+RO,32,Primary,62137,1814324,29198.770458824856,1.00000000000000000000
FDR+RO,32,FDR+RO,62408,1814324,29071.977951544675,.99565760799897449052
